n_builds,n_opp,snr,r2_x7,regime,EB7_dmean,EB7_dstd,EB8_dur_dmean,EB8_dur_dstd,EB8_ttk_dmean,EB8_ttk_dstd,EB9_ttk_dur_dmean,EB9_ttk_dur_dstd
100,10,0.3,0.2,clean,0.020788478847884772,0.014257411397698221,0.018642664266426634,0.015796160134659672,0.019342334233423287,0.014723276613821393,0.017593759375937566,0.015673708871014037
100,10,0.3,0.2,mediator,0.011542754275427548,0.016425848253289167,0.08759915991599157,0.03609552413504545,0.011014701470147038,0.0164156912778377,0.08645904590459044,0.033086073241495824
100,10,0.3,0.2,collider,0.027392739273927415,0.0218214738132443,0.07215961596159617,0.030806299498113567,0.028250825082508202,0.023000155219866553,0.07158595859585956,0.030837842770849336
100,10,0.3,0.5,clean,0.01845784578457852,0.012541347148723903,0.01740174017401742,0.010862074007780635,0.018739873987398792,0.012785396467763622,0.017707770777077702,0.010505439912250548
100,10,0.3,0.5,mediator,0.017327332733273304,0.013311708018960634,0.06435643564356439,0.028178765874835945,0.017428142814281435,0.013320328535593574,0.06363996399639964,0.028257353511266996
100,10,0.3,0.5,collider,0.022936693669366914,0.01696115376708244,0.04233183318331833,0.012692301585329661,0.022082208220822054,0.017041450622049426,0.0415241524152415,0.01180982974564001
100,10,0.3,0.8,clean,0.010873087308730878,0.004598345609566696,0.01091629162916291,0.00490417614979644,0.010887488748874897,0.004859987602834583,0.010861086108610852,0.005286130187106587
100,10,0.3,0.8,mediator,0.006115811581158115,0.002929552684278491,0.016622862286228633,0.00822693332716208,0.0059873987398740055,0.003130236243129916,0.01643804380438043,0.007969659057823271
100,10,0.3,0.8,collider,0.009315331533153271,0.005575421759356424,0.014892289228922839,0.007680453882712579,0.00951335133513347,0.005160820398647526,0.014673867386738626,0.007557659989290341
100,10,1.0,0.2,clean,0.006588658865886543,0.005979129906716227,0.006270627062706191,0.005946182898687343,0.006318631863186252,0.006018001171938858,0.006011401140113948,0.006090741959445637
100,10,1.0,0.2,mediator,0.0038235823582357885,0.005889773314741883,0.05125112511251122,0.01420286463554302,0.00372037203720369,0.005509060686399468,0.050799879987998765,0.014034684373485927
100,10,1.0,0.2,collider,0.0006372637263726055,0.006703867486640654,0.03175397539753973,0.004971286055928958,0.0002172217221722006,0.006679660237317376,0.03130393039303926,0.004996349688763554
100,10,1.0,0.5,clean,0.006237023702370237,0.006513214061219064,0.006521452145214546,0.006909188364735992,0.00619261926192618,0.006515842694283022,0.006423042304230453,0.0068004878578344944
100,10,1.0,0.5,mediator,0.0029306930693069333,0.004653999179745962,0.03557635763576358,0.010833086824191422,0.0029354935493549395,0.004984698722671129,0.03510831083108309,0.010571287900159198
100,10,1.0,0.5,collider,0.0035247524752474836,0.005085125453869431,0.022211821182118174,0.008393424870201331,0.003359135913591327,0.00551630682466989,0.021940594059405905,0.008329048694580942
100,10,1.0,0.8,clean,0.0018397839783978354,0.004403855224031231,0.0019513951395139673,0.004164811390366545,0.0021362136213621485,0.004093426225069949,0.001980198019802004,0.003927173383482057
100,10,1.0,0.8,mediator,0.0012469246924692423,0.0022080998284075273,0.009804980498049797,0.004308885460663581,0.0011929192919291954,0.002225122186361233,0.009740174017401714,0.0043417290212164035
100,10,1.0,0.8,collider,0.0018421842184218496,0.0025038383691092206,0.006487848784878491,0.00351676612317573,0.0018709870987098532,0.0025215058387319076,0.006457845784578464,0.0037329653396053664
100,10,3.0,0.2,clean,0.0010897089708970854,0.0012959829233257184,0.001123312331233095,0.0012329292630611321,0.0009288928892889237,0.0012208376771800883,0.0011125112511250813,0.0013801802782503535
100,10,3.0,0.2,mediator,0.0003960396039603964,0.0019306719715107854,0.019869186918691873,0.005365793344858362,0.00032163216321630107,0.0017779995683014096,0.019457545754575478,0.00521111415251912
100,10,3.0,0.2,collider,0.0003816381638164001,0.0013391080853167652,0.015037503750375113,0.00617617019148562,1.0801080108036043e-05,0.0011827783980772003,0.01505310531053109,0.006232961785060511
